Sample_ID,Replicate,Lithology ,Mineralogy,Phase,Analytical_Method,Chemistry,d33,d33_2sd,d34,sig_d34s,d36,d36_2sd,D33S,sig_D33S,D36S,sig_D36S,age_max,age_min,age_mean,Age_uncertainty,Age_method,age_source,Craton,Supergroup ,Group ,Subgroup,Formation ,Member,GSDBFM,Core,core_rim,Depth,Source,DOI,Publication_Date,NON_ATM_FLAG,MC_comment
190575A,,,pyrite,Sulfide,SIMS,,0.8,1.02,0.03,1.55,,,0.79,0.51,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190575B,,,pyrite,Sulfide,SIMS,,-0.16,0.95,-0.32,1.52,,,0.01,0.35,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190575C,,,pyrite,Sulfide,SIMS,,1.04,0.95,1.72,1.51,,,0.16,0.36,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190575E,,,pyrite,Sulfide,SIMS,,0.09,1.02,0.98,1.52,,,-0.41,0.52,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190575F,,,pyrite,Sulfide,SIMS,,0.63,0.95,1.05,1.51,,,0.1,0.36,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190575G,,,pyrite,Sulfide,SIMS,,-0.01,1.44,0.85,1.52,,,-0.44,0.38,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190575I,,,pyrite,Sulfide,SIMS,,0.75,0.96,1.36,1.52,,,0.06,0.37,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190575J,,,pyrite,Sulfide,SIMS,,0.94,1.06,1.42,1.52,,,0.21,0.59,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190578A@1,,,pyrite,Sulfide,SIMS,,-1.2,1.05,-2.62,1.52,,,0.16,0.57,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190578C,,,pyrite,Sulfide,SIMS,,1.41,0.95,2.15,1.52,,,0.31,0.34,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190578D,,,pyrite,Sulfide,SIMS,,0.91,1.03,1.3,1.52,,,0.25,0.54,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190569Ba,,,pyrite,Sulfide,SIMS,,-0.87,1.41,3.27,1.18,,,-2.64,1.23,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190569C,,,pyrite,Sulfide,SIMS,,3.29,0.84,1.78,1.15,,,2.29,0.49,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190569D,,,pyrite,Sulfide,SIMS,,0.8,0.85,2.18,1.15,,,-0.41,0.5,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190569E@1,,,pyrite,Sulfide,SIMS,,3.28,0.89,2.69,1.15,,,1.81,0.56,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190569E@2,,,pyrite,Sulfide,SIMS,,3.65,0.84,3.46,1.15,,,1.78,0.48,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190569F@1,,,pyrite,Sulfide,SIMS,,-4.16,0.82,-7.93,1.15,,,-0.16,0.44,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190569F@2,,,pyrite,Sulfide,SIMS,,-4.77,0.83,-9.07,1.15,,,-0.18,0.46,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190569F@3,,,pyrite,Sulfide,SIMS,,-3.31,0.87,-6.43,1.15,,,-0.07,0.53,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190569G,,,pyrite,Sulfide,SIMS,,-1.38,0.84,-2.6,1.15,,,-0.13,0.49,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190569H,,,pyrite,Sulfide,SIMS,,0.32,0.82,-0.21,1.15,,,0.34,0.45,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
190583A,,,pyrite,Sulfide,SIMS,,0.35,0.95,1.14,1.52,,,-0.23,0.35,,,,,2445,5,Magmatic Zircon U-Pb,,,,,,,,Boolgeeda Iron Formation,,,,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,,detrital but some argued as authigenic,
