Sample_ID,Mineralogy,Phase,Analytical_Method,d33,d34,d36,D33S,D36S,age_mean,Source,DOI,Publication_Date,NON_ATM_FLAG
190575A,pyrite,Sulfide,SIMS,0.8,0.03,,0.79,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190575B,pyrite,Sulfide,SIMS,-0.16,-0.32,,0.01,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190575C,pyrite,Sulfide,SIMS,1.04,1.72,,0.16,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190575E,pyrite,Sulfide,SIMS,0.09,0.98,,-0.41,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190575F,pyrite,Sulfide,SIMS,0.63,1.05,,0.1,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190575G,pyrite,Sulfide,SIMS,-0.01,0.85,,-0.44,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190575I,pyrite,Sulfide,SIMS,0.75,1.36,,0.06,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190575J,pyrite,Sulfide,SIMS,0.94,1.42,,0.21,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190578A@1,pyrite,Sulfide,SIMS,-1.2,-2.62,,0.16,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190578C,pyrite,Sulfide,SIMS,1.41,2.15,,0.31,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190578D,pyrite,Sulfide,SIMS,0.91,1.3,,0.25,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190569Ba,pyrite,Sulfide,SIMS,-0.87,3.27,,-2.64,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190569C,pyrite,Sulfide,SIMS,3.29,1.78,,2.29,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190569D,pyrite,Sulfide,SIMS,0.8,2.18,,-0.41,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190569E@1,pyrite,Sulfide,SIMS,3.28,2.69,,1.81,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190569E@2,pyrite,Sulfide,SIMS,3.65,3.46,,1.78,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190569F@1,pyrite,Sulfide,SIMS,-4.16,-7.93,,-0.16,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190569F@2,pyrite,Sulfide,SIMS,-4.77,-9.07,,-0.18,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190569F@3,pyrite,Sulfide,SIMS,-3.31,-6.43,,-0.07,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190569G,pyrite,Sulfide,SIMS,-1.38,-2.6,,-0.13,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190569H,pyrite,Sulfide,SIMS,0.32,-0.21,,0.34,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190583A,pyrite,Sulfide,SIMS,0.35,1.14,,-0.23,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190583B@1,pyrite,Sulfide,SIMS,9.29,5.88,,6.27,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190583B@2,pyrite,Sulfide,SIMS,9.1,5.82,,6.12,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190583B@3,pyrite,Sulfide,SIMS,9.1,5.61,,6.22,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190583C,pyrite,Sulfide,SIMS,0.75,1.16,,0.16,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
190583E,pyrite,Sulfide,SIMS,-3.3,-6.58,,0.11,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
194504A@1,pyrite,Sulfide,SIMS,-0.48,-1.07,,-0.01,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
194504B@1,pyrite,Sulfide,SIMS,0.92,1.23,,0.2,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
194504C@1,pyrite,Sulfide,SIMS,0.68,0.98,,0.09,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
194504E@1,pyrite,Sulfide,SIMS,0.59,0.55,,0.22,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
194504E@2,pyrite,Sulfide,SIMS,0.24,0.06,,0.13,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
194504E@3,pyrite,Sulfide,SIMS,0.37,0.11,,0.23,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
194504E@4,pyrite,Sulfide,SIMS,-1.87,-3.95,,0.08,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
194504F@1,pyrite,Sulfide,SIMS,0.42,0.97,,-0.17,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
194504F@2,pyrite,Sulfide,SIMS,0.31,0.11,,0.18,,2445,Swanner et al. 2013,10.1016/j.chemgeo.2013.07.022,2013,detrital but some argued as authigenic
Ch_9_7,Whole Rock,Mixed,Bulk SF6,,-19.5,,0.07,-1.13,326,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,2016,OK
Ch_10_3,Whole Rock,Mixed,Bulk SF6,,-32,,0.07,-0.65,326,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,2016,OK
Ch_10_9,Whole Rock,Mixed,Bulk SF6,,-10.4,,0.06,-1.18,326,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,2016,OK
Ch_12_8,Whole Rock,Mixed,Bulk SF6,,-26.7,,0.02,-0.38,326,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,2016,OK
Ch_13_5,Whole Rock,Mixed,Bulk SF6,,-26.8,,0.04,-1.4,326,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,2016,OK
Ch_14_5,Whole Rock,Mixed,Bulk SF6,,-27.1,,0.05,-0.55,326,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,2016,OK
Ch_15_1,Whole Rock,Mixed,Bulk SF6,,-31.9,,0.07,-1.49,326,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,2016,OK
Ch_16_5,Whole Rock,Mixed,Bulk SF6,,-28.1,,0.05,-0.24,326,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,2016,OK
Ch_17_9,Whole Rock,Mixed,Bulk SF6,,-26.4,,0.04,-0.3,326,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,2016,OK
Ch_18_5,Whole Rock,Mixed,Bulk SF6,,-24.6,,0.04,-0.14,326,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,2016,OK
Ch_19_0,Whole Rock,Mixed,Bulk SF6,,-26.1,,0.02,-1.25,326,Siedenberg et al. 2016,10.1016/j.chemgeo.2016.08.017,2016,OK
